# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
8.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53511212e+00
8.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53511720e+00
8.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53512228e+00
8.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53512736e+00
8.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53513240e+00
8.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53513240e+00
8.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53514763e+00
8.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53514763e+00
8.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53514763e+00
8.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53516062e+00
8.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53516174e+00
9               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53516174e+00
9.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53517524e+00
9.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53517525e+00
9.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53517525e+00
9.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53518716e+00
9.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53518767e+00
9.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53518767e+00
9.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53519870e+00
9.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53519870e+00
9.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53520064e+00
9.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53520614e+00
9.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53520614e+00
9.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53521485e+00
9.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53521492e+00
9.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53521492e+00
9.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522256e+00
9.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522256e+00
9.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522462e+00
9.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522756e+00
9.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53522756e+00
10              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53523436e+00
10.05           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53523436e+00
10.1            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53523436e+00
10.15           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53523436e+00
10.2            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524245e+00
10.25           	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53524120e+00
