# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
8.15            	-7.17665408e-03	(7.17665408e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.2             	-7.20433078e-03	(7.20433078e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.25            	-7.23187083e-03	(7.23187083e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.3             	-7.25927493e-03	(7.25927493e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.35            	-7.28654379e-03	(7.28654379e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.4             	-7.31367813e-03	(7.31367813e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.45            	-7.34067863e-03	(7.34067863e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.5             	-7.36754597e-03	(7.36754597e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.55            	-7.39428084e-03	(7.39428084e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.6             	-7.42088391e-03	(7.42088391e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.65            	-7.44735585e-03	(7.44735585e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.7             	-7.47369735e-03	(7.47369735e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.75            	-7.49990906e-03	(7.49990906e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.8             	-7.52599164e-03	(7.52599164e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.85            	-7.55194577e-03	(7.55194577e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.9             	-7.57777209e-03	(7.57777209e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
8.95            	-7.60347126e-03	(7.60347126e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9               	-7.62904393e-03	(7.62904393e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.05            	-7.65449074e-03	(7.65449074e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.1             	-7.67981233e-03	(7.67981233e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.15            	-7.70500935e-03	(7.70500935e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.2             	-7.73008243e-03	(7.73008243e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.25            	-7.75503220e-03	(7.75503220e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.3             	-7.77985929e-03	(7.77985929e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.35            	-7.80456432e-03	(7.80456432e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.4             	-7.82914793e-03	(7.82914793e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.45            	-7.85361073e-03	(7.85361073e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.5             	-7.87795332e-03	(7.87795332e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.55            	-7.90217630e-03	(7.90217630e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.6             	-7.92628029e-03	(7.92628029e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.65            	-7.95026592e-03	(7.95026592e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.7             	-7.97413378e-03	(7.97413378e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.75            	-7.99788450e-03	(7.99788450e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.8             	-8.02151866e-03	(8.02151866e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.85            	-8.04503682e-03	(8.04503682e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.9             	-8.06843956e-03	(8.06843956e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
9.95            	-8.09172748e-03	(8.09172748e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10              	-8.11490119e-03	(8.11490119e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.05           	-8.13796126e-03	(8.13796126e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.1            	-8.16090827e-03	(8.16090827e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.15           	-8.18374279e-03	(8.18374279e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.2            	-8.20646538e-03	(8.20646538e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.25           	-8.22907661e-03	(8.22907661e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.3            	-8.25157705e-03	(8.25157705e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.35           	-8.27396727e-03	(8.27396727e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.4            	-8.29624781e-03	(8.29624781e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.45           	-8.31841925e-03	(8.31841925e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.5            	-8.34048212e-03	(8.34048212e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.55           	-8.36243699e-03	(8.36243699e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.6            	-8.38428440e-03	(8.38428440e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.65           	-8.40602488e-03	(8.40602488e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.7            	-8.42765900e-03	(8.42765900e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.75           	-8.44918727e-03	(8.44918727e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.8            	-8.47061025e-03	(8.47061025e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.85           	-8.49192846e-03	(8.49192846e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.9            	-8.51314244e-03	(8.51314244e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
10.95           	-8.53425270e-03	(8.53425270e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11              	-8.55525978e-03	(8.55525978e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.05           	-8.57616416e-03	(8.57616416e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.1            	-8.59696638e-03	(8.59696638e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.15           	-8.61766701e-03	(8.61766701e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.2            	-8.63826658e-03	(8.63826658e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.25           	-8.65876559e-03	(8.65876559e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.3            	-8.67916453e-03	(8.67916453e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.35           	-8.69946380e-03	(8.69946380e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.4            	-8.71966394e-03	(8.71966394e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.45           	-8.73976550e-03	(8.73976550e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.5            	-8.75976901e-03	(8.75976901e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.55           	-8.77967495e-03	(8.77967495e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.6            	-8.79948380e-03	(8.79948380e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.65           	-8.81919603e-03	(8.81919603e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.7            	-8.83881214e-03	(8.83881214e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.75           	-8.85833262e-03	(8.85833262e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.8            	-8.87775795e-03	(8.87775795e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.85           	-8.89708862e-03	(8.89708862e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.9            	-8.91632509e-03	(8.91632509e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
11.95           	-8.93546785e-03	(8.93546785e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12              	-8.95451736e-03	(8.95451736e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.05           	-8.97347410e-03	(8.97347410e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.1            	-8.99233853e-03	(8.99233853e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.15           	-9.01111112e-03	(9.01111112e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.2            	-9.02979234e-03	(9.02979234e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.25           	-9.04838264e-03	(9.04838264e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.3            	-9.06688247e-03	(9.06688247e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.35           	-9.08529231e-03	(9.08529231e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.4            	-9.10361260e-03	(9.10361260e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.45           	-9.12184378e-03	(9.12184378e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.5            	-9.13998632e-03	(9.13998632e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.55           	-9.15804065e-03	(9.15804065e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.6            	-9.17600722e-03	(9.17600722e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.65           	-9.19388647e-03	(9.19388647e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.7            	-9.21167884e-03	(9.21167884e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.75           	-9.22938477e-03	(9.22938477e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.8            	-9.24700469e-03	(9.24700469e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.85           	-9.26453903e-03	(9.26453903e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
12.9            	-9.28198823e-03	(9.28198823e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
